id,tipo,titulo,introducao,data_publicacao,produto_id,produtos,editorias,imagens,produtos_relacionados,destaque,link
38601,Notícia,Produção industrial avança em dez de 15 locais pesquisados em outubro frente a setembro,"Indústria baiana foi a maior influência positiva na indústria nacional em outubro, puxada pelo setor de produtos derivados do petróleo - Foto: André Motta de Souza/Petrobras Com a variação de 0,1% na produção industrial nacional na passagem de setembro...",08/12/2023 09:00:00,9296,9296|PIM-PF Regional#pimpf2|pesquisa-industrial-mensal-producao-fisica-regional|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_12\/PIM-Reg_THUMB_Andre-Motta-de-Souza-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_12\/PIM-Reg_HOME-Andre-Motta-de-Souza-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9296,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/38601-producao-industrial-avanca-em-dez-de-15-locais-pesquisados-em-outubro-frente-a-setembro.html
37970,Notícia,"Preços na indústria sobem 0,92% em agosto, após seis meses de queda","Refino de petróleo respondeu por 0,72 pontos percentuais na variação de 0,92% do IPP em agosto - Foto: André Mota de Souza/Ag Petrobras  Os preços da indústria subiram 0,92% em agosto frente a julho, voltando ao campo positivo depois de seis meses de...",28/09/2023 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_09\/IPP_THUMB_AndreMottadeSouza_AgPetrobras.png"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_09\/IPP_HOME_AndreMottadeSouza_AgPetrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/37970-precos-na-industria-sobem-0-92-em-agosto-apos-seis-meses-de-queda.html
37774,Notícia,"PIB cresce 0,9% no segundo trimestre e fecha semestre com alta de 3,7%","A extração de petróleo, muito ligada à exportação, impactou a alta do PIB - Foto: Agência Petrobras Na passagem do primeiro para o segundo trimestre deste ano, o Produto Interno Bruto (PIB) cresceu 0,9%, oitavo resultado positivo consecutivo do indicador...",01/09/2023 09:00:00,9300,9300|Sistema de Contas Nacionais Trimestrais|contas-nacionais-trimestrais|2087,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_09\/PIB-Tri_THUMB_AgenciaPetrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_09\/PIB-Tri_HOME_AgenciaPetrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9300,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/37774-pib-cresce-0-9-no-segundo-trimestre-e-fecha-semestre-com-alta-de-3-7.html
37522,Notícia,"Produção industrial varia 0,1% em junho e fecha primeiro semestre em retração de 0,3%","Produção no setor extrativo fechou o primeiro semestre com alta de 5,8% - Foto: André Motta de Souza/Petrobras A produção industrial do país variou 0,1% na passagem de maio para junho, marcando a segunda taxa no campo positivo consecutiva. Em maio, a...",01/08/2023 09:00:00,9294,9294|PIM-PF Brasil#pimpf1|pesquisa-industrial-mensal-producao-fisica-brasil|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_08\/PIM-Br_THUMB_Andre-Motta-de-Souza-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_08\/PIM-Br_HOME-Andre-Motta-de-Souza-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9294,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/37522-producao-industrial-varia-0-1-em-junho-e-fecha-primeiro-semestre-em-retracao-de-0-3.html
37290,Notícia,"Produção industrial varia 0,3% em maio, após queda em abril","Com alta de 7,7% na produção em maio, setor de derivados do petróleo foi uma das maiores influências para o resultado do mês - Foto: João Paulo Ceglinski-PETROBRAS Na passagem de abril para maio, a produção industrial do país variou 0,3%, voltando ao...",04/07/2023 09:00:00,9294,9294|PIM-PF Brasil#pimpf1|pesquisa-industrial-mensal-producao-fisica-brasil|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_07\/PIM-Br_THUMB_joao_paulo_ceglinski-PETROBRAS.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_07\/PIM-Br_HOME_joao_paulo_ceglinski-PETROBRAS.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9294,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/37290-producao-industrial-varia-0-3-em-maio-apos-queda-em-abril.html
37249,Notícia,"Preços na indústria têm queda de 3,07% em maio","Impactado pela queda no preço do óleo diesel, o setor de refino de petróleo e biocombustíveis exerceu a maior influência negativa no índice de maio - Foto: André Motta de Souza/Agência Petrobras Pelo quarto mês consecutivo os preços da indústria tiveram...",29/06/2023 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_06\/IPP_THUMB_Andr-Motta-de-Souza---Agncia-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_06\/IPP_HOME_Andr-Motta-de-Souza---Agncia-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/37249-precos-na-industria-tem-queda-de-3-07-em-maio.html
36841,Notícia,"Produção industrial avança 1,1% em março, após dois meses de queda","O setor de derivados do petróleo avançou 1,7% e influenciou o resultado da indústria nacional em março - Foto: Agência Petrobras Na passagem de fevereiro para março, a produção industrial do país avançou 1,1%. A expansão vem após dois meses seguidos de...",10/05/2023 09:00:00,9294,9294|PIM-PF Brasil#pimpf1|pesquisa-industrial-mensal-producao-fisica-brasil|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_05\/PIM-Br_THUMB_Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_05\/PIM-Br_Home_Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9294,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/36841-producao-industrial-avanca-1-1-em-marco-apos-dois-meses-de-queda.html
36781,Notícia,"Inflação na indústria fica em -0,66% em março ","Setor de refino e biocombustíveis tem o maior impacto negativo devido à queda de preços internacionais - Foto: André Motta de Souza/Ag. Petrobras Os preços da indústria variaram -0,66% em março frente a fevereiro. O acumulado no ano também atingiu...",28/04/2023 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_04\/IPP_THUMB_Andre-Motta-de-Souza-Agencia-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_04\/IPP_home_Andre-Motta-de-Souza-Agencia-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/36781-inflacao-na-industria-fica-em-0-66-em-marco.html
36619,Notícia,Produção industrial recua em oito de 15 locais pesquisados em janeiro frente a dezembro,"Setor de derivados do petróleo impulsionou o resultado negativo da indústria paulista - Foto: Tais Peyneau/Agência Petrobras Na passagem de dezembro para janeiro, quando a produção industrial do país recuou -0,3%, houve retração em oito dos 15 locais...",06/04/2023 09:00:00,9296,9296|PIM-PF Regional#pimpf2|pesquisa-industrial-mensal-producao-fisica-regional|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_04\/Refinaria_THUMB_AgPetrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_04\/Refinaria_HOME_AgPetrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9296,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/36619-producao-industrial-recua-em-oito-de-15-locais-pesquisados-em-janeiro-frente-a-dezembro.html
36147,Notícia,"Preços na indústria caem 1,29% em dezembro e fecham 2022 com alta de 3,13%","A atividade de refino de petróleo e biocombustíveis exerceu a maior influência no resultado acumulado no ano - Foto: André Motta de Souza/Agência Petrobras Os preços do setor industrial caíram 1,29% em dezembro de 2022 frente ao mês anterior, o quinto...",01/02/2023 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_02\/IPP_THUMB_Andre-Motta-de-Souza-Agencia-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2023_02\/IPP_home_Andre-Motta-de-Souza-Agencia-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/36147-precos-na-industria-caem-1-29-em-dezembro-e-fecham-2022-com-alta-de-3-13.html
35277,Notícia," Inflação da indústria tem nova queda e fica em -1,96% em setembro","Cadeia industrial do petróleo foi a principal influência para nova queda de preços na porta de fábrica - Foto: André Valentim/Agência Petrobras Os preços no setor industrial recuaram 1,96% na passagem de agosto para setembro de 2022, a segunda maior...",26/10/2022 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_10\/IPP_THUMB_AndreValentim-AgenciaPetrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_10\/IPP_HOME_AndreValentim-AgenciaPetrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/35277-inflacao-da-industria-tem-nova-queda-e-fica-em-1-96-em-setembro.html
35084,Notícia,"Produção industrial recua 0,6% em agosto, com queda concentrada em oito atividades","Setor de coque, derivados do petróleo e biocombustíveis cai 4,2% e puxa recuo na produção industrial em agosto - Foto: André Motta de Souza/Petrobras A produção industrial caiu 0,6% na passagem de julho para agosto, eliminando o avanço de 0,6% que havia...",05/10/2022 09:00:00,9294,9294|PIM-PF Brasil#pimpf1|pesquisa-industrial-mensal-producao-fisica-brasil|2209,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_10\/PIM-Br_THUMB_Andre-Motta-de-Souza-Petrobras.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_10\/PIM-Br_HOME-Andre-Motta-de-Souza-Petrobras.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9294,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/35084-producao-industrial-recua-0-6-em-agosto-com-queda-concentrada-em-oito-atividades.html
35041,Notícia,"Inflação da indústria tem queda recorde e fica em -3,11% em agosto","Indústria do refino. Foto: André Motta de Souza/Agência Petrobras Os preços no setor industrial em agosto de 2022 ficaram em -3,11% em relação a julho, na maior variação negativa desde o início da série histórica em 2014. Na passagem de junho para julho,...",28/09/2022 09:00:00,9282,9282|Índice de Preços ao Produtor - Indústrias Extrativas e de Transformação|indice-de-precos-ao-produtor-industrias-extrativas-e-de-transformacao|2081,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_09\/IPP_AndreMottadeSouza_AgPetrobras_THUMB.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_09\/IPP_AndreMottadeSouza_AgPetrobras_HOME.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}",9282,True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/35041-inflacao-da-industria-tem-queda-recorde-e-fica-em-3-11-em-agosto.html
34580,Notícia,"IPCA fica em -0,68% em julho, menor taxa desde o início da série histórica em 1980","Os preços da gasolina caíram 15,48% em julho e influenciaram queda do IPCA - Foto: Helena Pontes/Agência IBGE Notícias Pressionado pela queda nos preços dos combustíveis, em particular da gasolina e do etanol, e da energia elétrica, o IPCA ficou em...",09/08/2022 09:00:00,0,9256|Índice Nacional de Preços ao Consumidor Amplo|indice-nacional-de-precos-ao-consumidor-amplo|2210;9258|Índice Nacional de Preços ao Consumidor|indice-nacional-de-precos-ao-consumidor|2077,economicas,"{""image_intro"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_08\/IPCA_Thumb_Helena-Pontes.jpg"",""float_intro"":"""",""image_intro_alt"":"""",""image_intro_caption"":"""",""image_fulltext"":""images\/agenciadenoticias\/estatisticas_economicas\/2022_08\/IPCA_HOME_Helena-Pontes.jpg"",""float_fulltext"":"""",""image_fulltext_alt"":"""",""image_fulltext_caption"":""""}","9256, 9258",True,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/34580-ipca-fica-em-0-68-em-julho-menor-taxa-desde-o-inicio-da-serie-historica-em-1980.html
